time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,NPP_NACTIVE,NPP_NFIX,NUPTAKE_NPP_FRACTION,PUPTAKE_NPP_FRACTION,COST_NFIX,COST_NACTIVE,COST_PACTIVE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.0417,273.022,273.071,0,0.47016,0,0,0.000628265,0.000464625,-0.000628265,0,0,0,0,0,0,0,0,0,0.000523391,0,9.82865e-07,1.49744e-06,3.39754e-07,9.19189e-06,0,7.92707e-08,3.37047e-09,4.72069e-07,0,11.6023,45.9097,7.23052,0.497045,31.1219,0,8.69583,0.00552985,0,2.6884,0.142865,3.26563,0.00130162,0.0106,3.10534,0,0.0133413,0,0.00552897,3.10534,0.00917824,3.05066,1.67141,0.000603725,0.062564,0,0.00222356,0,0.000896134,0.062564,0.399102,9.82865e-07,4.37178,0.00552985
2015.1250,274.884,274.551,0,0.482437,0,0,0.000834532,0.00149923,-0.000834532,0,0,0,0,0,0,0,0,0,0.000522546,0,9.28888e-07,1.02095e-05,5.42697e-07,1.65912e-05,0,6.17907e-07,4.0727e-09,1.72706e-06,0,11.5645,45.8658,7.21884,0.475731,31.1267,0,8.68178,0.00521739,0,2.69882,0.142634,3.26558,0.00161063,0.0100436,3.10575,0,0.0133218,0,0.00555026,3.10575,0.00916341,3.05066,1.67144,0.000575065,0.0625764,0,0.0022203,0,0.000899606,0.0625764,0.529745,9.28888e-07,4.34571,0.00521739
2015.2083,283.009,282.038,0,0.203767,0,0,0.00111061,0.00218032,-0.00111061,0,0,0,0,0,0,0,0,0,0.000521673,0,8.97059e-07,2.11097e-05,2.47039e-06,3.56398e-05,0,1.75546e-06,1.59112e-08,2.71918e-06,0,11.517,45.7769,7.20679,0.421744,31.1362,0,8.66729,0.00491269,0,2.70199,0.142396,3.26517,0.00198571,0.00860712,3.10663,0,0.0133015,0,0.00555658,3.10663,0.00914811,3.05066,1.67151,0.000494908,0.0625985,0,0.00221692,0,0.000900662,0.0625985,1.12723,8.97059e-07,4.31024,0.00491269
2015.2917,291.193,289.718,1.69349,0.183893,1.38098,0.0053174,0.00273698,0.00234779,0.00258042,2.77492e-05,0.00011284,2.27764e-05,1.75261e-06,0.00281173,0.0201983,2.07944,0.497036,0.00805066,0.000521709,7.96561e-06,9.01556e-07,3.37474e-05,2.16916e-06,5.57224e-05,3.43176e-05,3.19169e-06,1.26819e-08,3.2444e-06,1.99551e-06,11.4946,45.7042,7.20519,0.375252,31.1347,0.0520611,8.75366,0.00691321,0.0520611,2.69967,0.142475,3.26443,0.00231181,0.00745006,3.10664,0.00208244,0.0134211,0.00123955,0.00555167,3.10664,0.00915107,3.05066,1.67158,0.000429659,0.0625882,0.000138829,0.00223685,5.20611e-05,0.000899892,0.0625882,2.35111,8.86717e-06,4.28939,0.0589743
2015.3750,292.919,291.893,3.60976,0.174969,2.61615,0.0100351,0.00411859,0.00211619,0.00591655,6.91311e-05,0.00016227,5.77128e-05,3.36904e-06,0.00481542,0.0151504,3.06137,0.530622,0.0158802,0.000525787,1.62116e-05,9.76578e-07,3.12946e-05,1.01251e-06,6.32219e-05,6.75339e-05,3.08192e-06,8.05217e-09,3.08988e-06,3.99832e-06,11.617,45.7784,7.25015,0.342262,31.1243,0.107818,8.84722,0.00890788,0.107818,2.6948,0.143962,3.26386,0.00183504,0.00663302,3.10589,0.00431271,0.0135517,0.00256709,0.00554183,3.10589,0.00923725,3.05066,1.67157,0.000384598,0.062554,0.000287514,0.00225862,0.000107818,0.000898265,0.062554,3.37982,1.71882e-05,4.36688,0.116726
2015.4583,295.956,294.902,3.60966,0.208294,2.35941,0.00993913,0.00456718,0.00227651,0.00537195,7.74383e-05,0.000161703,6.56399e-05,2.65069e-06,0.00545122,0.015866,3.8718,0.453104,0.0156736,0.000530975,1.6551e-05,1.07371e-06,3.28468e-05,3.84022e-07,7.66596e-05,6.65197e-05,2.92258e-06,5.40606e-09,3.35212e-06,3.94545e-06,11.774,45.8881,7.30789,0.318492,31.1081,0.107815,8.83279,0.00839532,0.107815,2.68756,0.145825,3.26345,0.00144202,0.00604497,3.10461,0.00431261,0.0135329,0.00256703,0.00552716,3.10461,0.00934664,3.05066,1.67154,0.000352871,0.0625055,0.000287507,0.00225549,0.000107815,0.000895853,0.0625055,3.58274,1.76247e-05,4.4661,0.116211
2015.5417,295.809,295.201,3.60285,0.196314,2.19249,0.00822618,0.00436689,0.00215092,0.00385928,5.57715e-05,0.000147908,4.71444e-05,2.05073e-06,0.00445898,0.0153551,3.66954,0.468423,0.0126781,0.00053548,1.33638e-05,1.14964e-06,3.61637e-05,4.84198e-07,7.83456e-05,5.3904e-05,3.20854e-06,8.31763e-09,3.12994e-06,3.17429e-06,11.8962,45.9598,7.35774,0.299036,31.0871,0.107632,8.8178,0.00789731,0.107632,2.67742,0.14745,3.26291,0.00151982,0.00556659,3.10287,0.00430529,0.0135132,0.00256267,0.00550646,3.10287,0.00944146,3.05066,1.67154,0.000327479,0.0624466,0.00028702,0.0022522,0.000107632,0.000892474,0.0624466,2.94113,1.45135e-05,4.53851,0.11553
2015.6250,290.503,290.659,3.59616,0.1867,1.54483,0.00667288,0.00355809,0.00170767,0.00311479,4.66319e-05,0.000132725,3.89141e-05,2.29728e-06,0.00419685,0.0149103,2.35615,0.414332,0.0101949,0.000538856,1.04401e-05,1.18709e-06,3.11277e-05,7.41985e-07,6.45727e-05,4.33084e-05,3.13954e-06,9.22751e-09,2.44427e-06,2.53875e-06,11.9835,46.0081,7.39462,0.28573,31.0683,0.107453,8.80308,0.0074361,0.107453,2.67047,0.148683,3.26232,0.00163543,0.00524267,3.10126,0.0042981,0.0134936,0.00255839,0.00549226,3.10126,0.00951263,3.05066,1.67153,0.000310552,0.0623966,0.00028654,0.00224894,0.000107453,0.000890157,0.0623966,2.289,1.16272e-05,4.58892,0.114889
2015.7083,285.134,285.79,2.91251,0.21505,0.673796,0.00388342,0.00259592,0.00255452,0.0012875,2.48954e-05,7.67502e-05,2.01987e-05,1.88238e-06,0.00373815,0.0114502,1.15498,0.361301,0.00537101,0.00745606,5.31644e-06,1.18125e-06,3.03933e-05,1.35473e-06,3.99255e-06,7.06851e-05,2.28593e-06,1.81335e-08,1.55924e-06,4.51411e-06,11.9979,46.0625,7.39956,0.338502,31.0594,0.088552,8.78838,0.00700197,0.088552,2.66663,0.14856,3.26261,0.00153041,0.00658105,3.10045,0.00354107,0.0134739,0.00210838,0.0054844,3.10045,0.00950713,3.05071,1.67154,0.000381391,0.0623751,0.00023605,0.00224565,8.8552e-05,0.000888877,0.0623751,1.29359,6.49768e-06,4.59833,0.0955539
2015.7917,280.564,281.45,0,0.199384,0,0,0.00115078,0.00305019,-0.00115078,0,0,0,0,0,0,0,0,0,0.000529403,0,1.12555e-06,2.58381e-06,6.90127e-07,3.63418e-06,0,1.50235e-07,1.62146e-08,2.15113e-06,0,11.7966,46.1377,7.30985,0.56614,31.1089,0,8.7737,0.00659305,0,2.66612,0.144159,3.26671,0.000318164,0.012215,3.10453,0,0.0134541,0,0.00548334,3.10453,0.00926405,3.05095,1.67157,0.000688108,0.0625143,0,0.00224234,0,0.000888706,0.0625143,0.407076,1.12555e-06,4.48675,0.00659305
2015.8750,274.448,275.354,0,0.220675,0,0,0.000792087,0.00200892,-0.000792087,0,0,0,0,0,0,0,0,0,0.000528519,0,1.06037e-06,8.09318e-06,5.6167e-07,1.97211e-05,0,5.00536e-07,1.32233e-08,2.061e-06,0,11.7492,46.0341,7.29764,0.485467,31.1304,0,8.75905,0.00620813,0,2.66904,0.143918,3.26666,0.000710172,0.0101697,3.10637,0,0.0134341,0,0.00548931,3.10637,0.00924858,3.05095,1.67164,0.000577724,0.0625722,0,0.00223901,0,0.000889679,0.0625722,0.375695,1.06037e-06,4.45152,0.00620813
2015.9583,275.234,275.897,0,0.174611,0,0,0.000669322,0.00172611,-0.000669322,0,0,0,0,0,0,0,0,0,0.000527622,0,9.91696e-07,1.29029e-05,5.6688e-07,2.47534e-05,0,9.69449e-07,9.51321e-09,1.98825e-06,0,11.7081,45.9555,7.28526,0.434767,31.1392,0,8.74419,0.00583987,0,2.67332,0.143674,3.26642,0.00116204,0.00891412,3.10718,0,0.0134137,0,0.00549805,3.10718,0.00923289,3.05095,1.6717,0.000508028,0.0625934,0,0.00223561,0,0.000891107,0.0625934,0.362045,9.91696e-07,4.42288,0.00583987
2016.0417,275.208,275.803,0,0.163301,0,0,0.000704533,0.00144897,-0.000704533,0,0,0,0,0,0,0,0,0,0.00052677,0,9.42081e-07,1.33236e-05,7.63832e-07,2.7777e-05,0,1.34791e-06,6.9787e-09,1.81874e-06,0,11.6715,45.8915,7.27349,0.400421,31.142,0,8.73006,0.00550957,0,2.67755,0.143442,3.26617,0.00167556,0.00806847,3.10747,0,0.0133941,0,0.00550662,3.10747,0.00921797,3.05095,1.67175,0.000461221,0.0625981,0,0.00223236,0,0.000892517,0.0625981,0.743628,9.42081e-07,4.39804,0.00550957
2016.1250,275.922,275.843,0,0.284429,0,0,0.000853434,0.00137367,-0.000853434,0,0,0,0,0,0,0,0,0,0.000525919,0,9.05644e-07,2.15348e-05,1.4468e-06,3.27468e-05,0,1.39879e-06,1.11643e-08,1.83487e-06,0,11.631,45.829,7.26174,0.375314,31.1409,0,8.71597,0.00519825,0,2.68183,0.14321,3.26564,0.00203384,0.00745085,3.10743,0,0.0133745,0,0.00551528,3.10743,0.00920309,3.05095,1.6718,0.00042756,0.0625923,0,0.00222909,0,0.000893945,0.0625923,0.788951,9.05644e-07,4.36927,0.00519825
2016.2083,286.311,285.399,1.87313,0.183019,1.00718,0.00445081,0.00231704,0.00176378,0.00213377,2.56784e-05,0.000112029,2.05114e-05,2.28409e-06,0.00316418,0.0242848,1.14182,0.483879,0.00660303,0.000525776,5.3309e-06,8.93744e-07,3.06056e-05,2.56447e-06,4.91375e-05,2.80312e-05,3.00408e-06,1.7559e-08,2.48602e-06,1.6179e-06,11.6086,45.7767,7.25811,0.350216,31.1351,0.0577692,8.81198,0.00740148,0.0577692,2.68279,0.143236,3.26489,0.00229265,0.0068273,3.10702,0.00231077,0.0135075,0.00137546,0.00551712,3.10702,0.00920278,3.05095,1.67185,0.000393714,0.0625734,0.000154051,0.00225126,5.77692e-05,0.000894262,0.0625734,1.8102,6.22464e-06,4.35048,0.0651707
2016.2917,288.152,287.357,3.77251,0.200899,1.80887,0.00953646,0.00365333,0.00176563,0.00588313,7.04817e-05,0.000158135,5.76849e-05,4.77801e-06,0.00498196,0.0150326,1.83997,0.505934,0.0150854,0.000529115,1.41568e-05,9.37074e-07,2.9757e-05,1.07502e-06,5.63013e-05,6.397e-05,2.86015e-06,9.78545e-09,2.56139e-06,3.79586e-06,11.7197,45.8551,7.29475,0.32922,31.1248,0.112172,8.90158,0.00927949,0.112172,2.68144,0.144509,3.26429,0.00174863,0.00631018,3.10621,0.00448686,0.0136329,0.00267075,0.00551461,3.10621,0.00927634,3.05095,1.67184,0.000365975,0.0625421,0.000299124,0.00227215,0.000112172,0.000893813,0.0625421,2.70711,1.50938e-05,4.42493,0.121451
2016.3750,293.9,292.669,3.77039,0.18832,2.49584,0.00995629,0.0043411,0.00197599,0.00561519,8.51451e-05,0.000161072,7.19006e-05,3.2436e-06,0.00595974,0.0172522,3.2584,0.4099,0.0156187,0.000533909,1.63306e-05,1.00776e-06,2.86188e-05,4.34383e-07,6.84107e-05,6.60596e-05,2.68593e-06,6.68694e-09,2.8658e-06,3.93367e-06,11.8767,45.9749,7.34821,0.311099,31.1101,0.112115,8.88696,0.00874303,0.112115,2.67701,0.146282,3.26398,0.00132259,0.00586329,3.10501,0.00448461,0.013614,0.00266941,0.00550577,3.10501,0.00938068,3.05095,1.6718,0.000342292,0.0625001,0.000298974,0.00226899,0.000112115,0.000892337,0.0625001,3.33477,1.73384e-05,4.52846,0.120858
2016.4583,297.808,296.294,3.76337,0.144612,2.87124,0.00943071,0.00478242,0.00186318,0.00464829,8.89919e-05,0.000159143,7.61424e-05,2.26983e-06,0.00665325,0.0199948,4.19862,0.359156,0.0145229,0.000538476,1.54269e-05,1.09971e-06,2.01157e-05,4.24167e-07,6.75573e-05,6.12735e-05,2.41322e-06,5.20892e-09,2.66204e-06,3.64893e-06,12.0089,46.0673,7.39905,0.295634,31.0924,0.111928,8.87212,0.0082326,0.111928,2.67029,0.147956,3.26381,0.00134992,0.00548411,3.10352,0.00447712,0.0135945,0.00266495,0.00549214,3.10352,0.00947917,3.05095,1.67177,0.000322396,0.0624518,0.000298475,0.00226576,0.000111928,0.000890097,0.0624518,3.51491,1.65266e-05,4.60986,0.120161
2016.5417,296.888,296.099,3.75624,0.178103,2.40334,0.00855006,0.00468442,0.00198257,0.00386565,7.15223e-05,0.00014855,6.10334e-05,2.0001e-06,0.00550953,0.0153042,3.88195,0.370927,0.0130143,0.000542915,1.38115e-05,1.17828e-06,3.04796e-05,2.52516e-07,7.56364e-05,5.50411e-05,3.16925e-06,3.57054e-09,2.79213e-06,3.26451e-06,12.1316,46.1516,7.44838,0.283012,31.0738,0.111738,8.85707,0.00774424,0.111738,2.66315,0.149573,3.26349,0.00135712,0.00517528,3.10191,0.00446953,0.0135746,0.00266043,0.00547758,3.10191,0.00957429,3.05095,1.67174,0.000306298,0.0624029,0.000297968,0.00226244,0.000111738,0.000887716,0.0624029,3.11752,1.49898e-05,4.68327,0.119482
2016.6250,292.989,292.963,3.74924,0.171598,1.61154,0.00661499,0.00394316,0.001716,0.00267184,4.64985e-05,0.000132531,3.92232e-05,1.81485e-06,0.00430405,0.0159692,2.84331,0.392395,0.00979086,0.000546233,1.02151e-05,1.20951e-06,2.92334e-05,2.52021e-07,6.73892e-05,4.15054e-05,3.27126e-06,2.68281e-09,2.3793e-06,2.43523e-06,12.2135,46.1965,7.48478,0.272518,31.0546,0.111552,8.84228,0.00729197,0.111552,2.65586,0.150797,3.26303,0.00164621,0.00492111,3.1002,0.00446206,0.0135549,0.00265599,0.00546264,3.1002,0.00964525,3.05095,1.67173,0.000293153,0.0623545,0.000297471,0.00225915,0.000111552,0.000885286,0.0623545,2.18194,1.14247e-05,4.72874,0.118844
2016.7083,284.936,285.64,3.06221,0.178926,0.752971,0.00388213,0.0026079,0.00233256,0.00127423,2.64659e-05,7.59141e-05,2.15197e-05,1.95415e-06,0.00388054,0.0111247,1.08263,0.33692,0.00513709,0.00772705,5.13425e-06,1.19926e-06,3.06312e-05,2.58808e-07,2.03443e-06,7.18274e-05,2.95954e-06,2.31612e-09,1.29389e-06,4.59933e-06,12.2192,46.2489,7.48723,0.330451,31.0464,0.0919299,8.82751,0.00686625,0.0919299,2.6529,0.150585,3.26344,0.00159492,0.00638953,3.09942,0.00367635,0.013535,0.00218881,0.00545658,3.09942,0.0096348,3.051,1.67173,0.00037103,0.0623368,0.000245063,0.00225584,9.19299e-05,0.000884301,0.0623368,1.22152,6.33351e-06,4.73193,0.0987962
2016.7917,279.736,280.834,0,0.212438,0,0,0.00117267,0.00302769,-0.00117267,0,0,0,0,0,0,0,0,0,0.000536182,0,1.14596e-06,3.26157e-06,1.1451e-07,1.34779e-07,0,1.80121e-07,2.54748e-09,1.94049e-06,0,12.0093,46.3316,7.39436,0.573974,31.0958,0,8.81277,0.00646526,0,2.65263,0.146019,3.26764,0.000309931,0.0124054,3.10345,0,0.013515,0,0.005456,3.10345,0.00938272,3.05125,1.67176,0.000699215,0.0624772,0,0.0022525,0,0.000884211,0.0624772,0.52809,1.14596e-06,4.61492,0.00646526
2016.8750,272.874,273.751,0,0.251041,0,0,0.000871267,0.0016996,-0.000871267,0,0,0,0,0,0,0,0,0,0.000535286,0,1.07994e-06,5.3188e-06,2.23438e-07,1.51617e-05,0,2.95385e-07,4.63775e-09,1.63381e-06,0,11.9615,46.2345,7.38202,0.498325,31.1176,0,8.79805,0.0060878,0,2.65705,0.145775,3.26765,0.000640728,0.0104864,3.10529,0,0.0134949,0,0.00546503,3.10529,0.00936706,3.05125,1.67182,0.000596517,0.062537,0,0.00224915,0,0.000885682,0.062537,0.569861,1.07994e-06,4.57952,0.0060878
2016.9583,272.176,272.362,0,0.41595,0,0,0.000809307,0.00103684,-0.000809307,0,0,0,0,0,0,0,0,0,0.000534378,0,1.02101e-06,4.512e-06,3.44624e-07,1.12882e-05,0,1.81193e-07,5.16694e-09,1.08269e-06,0,11.9176,46.1737,7.36949,0.464861,31.1252,0,8.78312,0.00572668,0,2.66612,0.145528,3.26764,0.00100875,0.00967384,3.10595,0,0.0134743,0,0.0054836,3.10595,0.00935116,3.05125,1.67185,0.000552429,0.0625572,0,0.00224572,0,0.000888705,0.0625572,0.501619,1.02101e-06,4.54807,0.00572668
2017.0417,273.721,273.802,0,0.276567,0,0,0.000869034,0.00158432,-0.000869034,0,0,0,0,0,0,0,0,0,0.000533515,0,9.69394e-07,1.30244e-05,5.72977e-07,2.31964e-05,0,6.5206e-07,6.97509e-09,1.8179e-06,0,11.8748,46.1104,7.35758,0.43089,31.1315,0,8.76894,0.00540278,0,2.67318,0.145293,3.26747,0.00134339,0.00882379,3.10651,0,0.0134547,0,0.005498,3.10651,0.00933606,3.05125,1.67189,0.000505629,0.0625731,0,0.00224244,0,0.00089106,0.0625731,0.378481,9.69394e-07,4.51724,0.00540278
2017.1250,278.077,277.795,0,0.240201,0,0,0.00100221,0.00168756,-0.00100221,0,0,0,0,0,0,0,0,0,0.000532653,0,9.31156e-07,1.92425e-05,2.65044e-06,3.2949e-05,0,1.23922e-06,2.81201e-08,2.11529e-06,0,11.8284,46.0311,7.3457,0.391949,31.1347,0,8.75477,0.0050975,0,2.67612,0.145058,3.26703,0.00177376,0.00785842,3.10684,0,0.0134349,0,0.00550386,3.10684,0.00932098,3.05125,1.67195,0.000451607,0.0625787,0,0.00223915,0,0.00089204,0.0625787,1.30658,9.31156e-07,4.4827,0.0050975
2017.2083,285.773,284.724,0.297389,0.209343,0.231799,0.00118111,0.00152655,0.00192107,-0.000345438,5.38003e-06,3.51413e-05,4.30155e-06,4.54692e-07,0.000928822,0.0124128,0.456282,0.169373,0.00156109,0.000531807,1.41213e-06,9.27786e-07,3.29497e-05,3.05357e-06,4.77352e-05,6.58153e-06,2.53722e-06,2.63246e-08,2.60295e-06,3.76002e-07,11.7783,45.9471,7.33395,0.359956,31.1319,0.00950068,8.75862,0.00522345,0.00950068,2.67705,0.144833,3.26626,0.00218104,0.007068,3.10667,0.000380027,0.01344,0.000226207,0.00550556,3.10667,0.00930638,3.05125,1.67202,0.000407835,0.0625676,2.53352e-05,0.00224,9.50068e-06,0.000892351,0.0625676,1.50136,2.33992e-06,4.44433,0.0147241
2017.2917,290.575,289.505,3.62997,0.177811,2.20374,0.00933914,0.00369854,0.00190118,0.0056406,5.33823e-05,0.00015701,4.38644e-05,3.40056e-06,0.00390486,0.0163688,2.37048,0.596125,0.0136046,0.000533445,1.30943e-05,9.61012e-07,3.28069e-05,1.94351e-06,5.76975e-05,5.74079e-05,3.23807e-06,1.70045e-08,2.71457e-06,3.41871e-06,11.8383,45.9686,7.35144,0.333261,31.1225,0.108221,8.93588,0.00921994,0.108221,2.67453,0.145591,3.26544,0.0019735,0.00641069,3.10596,0.00432883,0.013686,0.00257668,0.00550043,3.10596,0.0093498,3.05125,1.67204,0.000371949,0.0625386,0.000288588,0.00228101,0.000108221,0.000891511,0.0625386,2.8352,1.40553e-05,4.48686,0.117441
2017.3750,296.32,294.048,4.14081,0.115524,2.98151,0.00967677,0.00456387,0.00158841,0.0051129,7.6613e-05,0.00015717,6.49238e-05,2.66521e-06,0.00553197,0.0172321,3.43234,0.393803,0.0139418,0.000537309,1.44252e-05,1.0335e-06,7.24291e-06,1.1344e-06,5.171e-05,5.85248e-05,1.23762e-06,8.86179e-09,2.27995e-06,3.50758e-06,11.9885,46.0856,7.39514,0.314621,31.1104,0.121886,8.94787,0.00927319,0.121886,2.67216,0.147184,3.26529,0.00167367,0.00595425,3.10498,0.00487545,0.0137041,0.00290205,0.00549587,3.10498,0.009444,3.05125,1.67201,0.000347551,0.0625032,0.00032503,0.00228402,0.000121886,0.000890719,0.0625032,3.34667,1.54587e-05,4.59332,0.131159
2017.4583,297.741,296.129,4.13302,0.10586,2.76641,0.00749825,0.00422648,0.00120148,0.00327178,6.1642e-05,0.000150019,5.26436e-05,1.68188e-06,0.00587268,0.0278565,3.99937,0.360138,0.0104825,0.000540616,1.09796e-05,1.11818e-06,2.66351e-06,7.05891e-07,3.82586e-05,4.39167e-05,5.79097e-07,5.00862e-09,1.6857e-06,2.60718e-06,12.0947,46.1693,7.43229,0.302555,31.1001,0.121683,8.93293,0.00873181,0.121683,2.67201,0.148517,3.26546,0.00164075,0.00565993,3.10414,0.00486731,0.0136848,0.00289721,0.00549584,3.10414,0.00952256,3.05125,1.67197,0.000331963,0.0624741,0.000324487,0.00228079,0.000121683,0.000890671,0.0624741,3.22443,1.20978e-05,4.66236,0.130415
2017.5417,298.817,297.286,4.12512,0.0970256,2.0346,0.00503597,0.00402152,0.00113512,0.00101444,3.58974e-05,0.000126025,3.06557e-05,9.78695e-07,0.00468056,0.0297643,3.67688,0.337489,0.00658682,0.000542631,6.89512e-06,1.16662e-06,5.22886e-06,4.71361e-07,3.71419e-05,2.76045e-05,1.01237e-06,3.24706e-09,1.57495e-06,1.60796e-06,12.1378,46.1963,7.4542,0.293981,31.0915,0.121476,8.91777,0.00821384,0.121476,2.67309,0.14935,3.26547,0.00174663,0.00544938,3.10343,0.00485905,0.0136649,0.00289229,0.00549828,3.10343,0.0095703,3.05125,1.67196,0.000320721,0.0624501,0.000323937,0.00227748,0.000121476,0.000891032,0.0624501,2.4302,8.06174e-06,4.68355,0.12969
2017.6250,293.314,293.13,4.11736,0.126159,1.56508,0.00539941,0.00357449,0.00115644,0.00182492,3.6493e-05,0.000129289,3.08415e-05,1.36104e-06,0.00421237,0.0197527,2.84317,0.368391,0.00732366,0.00054419,7.53329e-06,1.18591e-06,1.0692e-05,3.95308e-07,3.95158e-05,3.07531e-05,1.58831e-06,2.37519e-09,1.59455e-06,1.79816e-06,12.1639,46.2079,7.47077,0.286967,31.0828,0.121273,8.90288,0.00773415,0.121273,2.67421,0.150005,3.2654,0.00192623,0.0052756,3.10269,0.00485093,0.0136452,0.00288746,0.00550071,3.10269,0.00960711,3.05125,1.67195,0.000311466,0.0624268,0.000323396,0.0022742,0.000121273,0.000891404,0.0624268,2.15461,8.7192e-06,4.6931,0.129008
2017.7083,285.173,285.778,3.36023,0.169284,0.733017,0.00400583,0.00266878,0.00226162,0.00133705,2.74518e-05,7.56659e-05,2.24717e-05,1.86021e-06,0.00385075,0.0105319,1.08922,0.306483,0.00502512,0.00835006,5.0353e-06,1.17534e-06,2.95516e-05,2.22231e-07,-8.8532e-07,7.52555e-05,3.24885e-06,1.77605e-09,1.29271e-06,4.84869e-06,12.1563,46.2624,7.46526,0.351837,31.0796,0.0999417,8.88801,0.00728261,0.0999417,2.67468,0.149543,3.26592,0.00158481,0.00691279,3.10237,0.00399681,0.0136253,0.00237956,0.00550175,3.10237,0.00958245,3.0513,1.67195,0.000398177,0.0624199,0.000266431,0.00227089,9.99417e-05,0.000891559,0.0624199,1.22402,6.21064e-06,4.69104,0.107224
2017.7917,278.096,279.07,0,0.224396,0,0,0.00111899,0.00294847,-0.00111899,0,0,0,0,0,0,0,0,0,0.000532427,0,1.13063e-06,1.86318e-06,6.05196e-08,-5.43979e-06,0,1.04364e-07,1.36735e-09,1.76678e-06,0,11.934,46.3699,7.36381,0.632434,31.1279,0,8.87317,0.0068573,0,2.67559,0.144567,3.27056,0.000273144,0.013859,3.10635,0,0.0136053,0,0.00550366,3.10635,0.00930793,3.05157,1.67198,0.000777633,0.0625564,0,0.00226755,0,0.000891864,0.0625564,0.747913,1.13063e-06,4.57015,0.0068573
2017.8750,273.341,274.228,0,0.272563,0,0,0.00088746,0.00197524,-0.00088746,0,0,0,0,0,0,0,0,0,0.000531538,0,1.07353e-06,4.56492e-06,6.40613e-08,1.32163e-05,0,2.32329e-07,1.54732e-09,1.85094e-06,0,11.8853,46.2645,7.35152,0.544625,31.1549,0,8.85835,0.00645696,0,2.67969,0.144325,3.2706,0.00050883,0.0116188,3.10864,0,0.0135852,0,0.00551208,3.10864,0.00929239,3.05157,1.67203,0.000658278,0.0626296,0,0.0022642,0,0.000893231,0.0626296,0.571062,1.07353e-06,4.53378,0.00645696
2017.9583,272.435,272.732,0,0.482502,0,0,0.000789305,0.00108293,-0.000789305,0,0,0,0,0,0,0,0,0,0.000530636,0,1.01617e-06,4.10847e-06,1.56683e-07,1.15919e-05,0,1.84646e-07,2.7411e-09,1.10993e-06,0,11.8416,46.1971,7.33904,0.502346,31.1649,0,8.84332,0.00607393,0,2.68831,0.14408,3.27058,0.000868413,0.010582,3.10952,0,0.0135646,0,0.00552976,3.10952,0.00927662,3.05157,1.67208,0.000602427,0.0626554,0,0.00226077,0,0.000896104,0.0626554,0.566585,1.01617e-06,4.50252,0.00607393
2018.0417,272.024,272.338,0,0.625288,0,0,0.000808514,0.00074697,-0.000808514,0,0,0,0,0,0,0,0,0,0.000529779,0,9.80987e-07,1.2792e-06,3.02852e-07,9.94126e-06,0,7.53121e-08,3.61032e-09,8.10666e-07,0,11.8002,46.1453,7.32719,0.476769,31.1703,0,8.82903,0.0057304,0,2.69801,0.143847,3.27055,0.00119006,0.00996415,3.11,0,0.0135449,0,0.00554962,3.11,0.00926164,3.05157,1.67211,0.000569321,0.0626689,0,0.00225749,0,0.000899336,0.0626689,1.43901,9.80987e-07,4.47306,0.0057304
2018.1250,274.877,274.337,0,0.346376,0,0,0.000897154,0.00147888,-0.000897154,0,0,0,0,0,0,0,0,0,0.000528924,0,9.66479e-07,1.10403e-05,3.58715e-07,1.85553e-05,0,6.04292e-07,3.42205e-09,1.74315e-06,0,11.7568,46.0923,7.31535,0.45249,31.1756,0,8.81477,0.0054066,0,2.70734,0.143615,3.27049,0.00147002,0.00935634,3.11048,0,0.0135251,0,0.00556869,3.11048,0.00924668,3.05157,1.67214,0.000535755,0.0626817,0,0.00225419,0,0.000902447,0.0626817,0.994649,9.66479e-07,4.44146,0.0054066
2018.2083,285.392,283.916,0,0.176693,0,0,0.00124278,0.00212232,-0.00124278,0,0,0,0,0,0,0,0,0,0.00052804,0,9.41947e-07,2.39991e-05,8.32253e-07,3.97233e-05,0,2.0676e-06,6.21379e-09,2.75204e-06,0,11.7078,46.0065,7.30314,0.408879,31.1796,0,8.80005,0.00509085,0,2.71013,0.143375,3.27005,0.00192141,0.00826194,3.11092,0,0.0135046,0,0.00557423,3.11092,0.00923124,3.05157,1.67221,0.000474149,0.062688,0,0.00225077,0,0.000903375,0.062688,1.11566,9.41947e-07,4.40471,0.00509085
